:************************
:    TREND DATA FILE
:************************
DATE,TIME,Julabo_Ext_PV,WEITGHT(g),BALANCE POSITION,Now Pressure(kPa)
8/1/2019,18:17:00,30.45368593103448,13.6231,2.0,15.8779
8/1/2019,18:19:00,30.486469577724083,13.6231,2.0,15.877685759981722
8/1/2019,18:21:00,30.559665837974393,13.623,2.0,15.87754304318026
8/1/2019,18:23:00,30.63030302821748,13.6229,2.0,15.877314571314331
8/1/2019,18:25:00,30.681986656714702,13.6229,2.0,15.877143045638888
8/1/2019,18:27:00,30.755023570320134,13.622815982881598,2.0,15.876957611241217
8/1/2019,18:29:00,30.81850294252874,13.6228,2.0,15.87672914096413
8/1/2019,18:31:00,30.848923907676408,13.6227,2.0,15.876500662592106
8/1/2019,18:34:00,30.912777735632186,13.6226,2.0,15.876272174310355
8/1/2019,18:36:00,30.981292682084916,13.6226,2.0,15.876071856971496
8/1/2019,18:38:00,31.05635194827586,13.6226,2.0,15.875957616953219
8/1/2019,18:40:00,31.136437074712642,13.622534225392297,2.0,15.875786760338132
8/1/2019,18:42:00,31.21229399919452,13.6225,2.0,15.875558285257327
8/1/2019,18:44:00,31.280100413793104,13.6225,2.0,15.875329805220769
8/1/2019,18:46:00,31.31001427915255,13.6223,2.0,15.875200662592105
8/1/2019,18:48:00,31.371200958833324,13.6223,2.0,15.874972846698652
8/1/2019,18:50:00,31.432358008956253,13.6223,2.0,15.874772188267551
8/1/2019,18:53:00,31.501303097879187,13.6223,2.0,15.874615901302262
8/1/2019,18:55:00,31.564845548594747,13.6223,2.0,15.874331141828982
8/1/2019,18:57:00,31.619701485517638,13.6223,2.0,15.8742
8/1/2019,18:59:00,31.663373438753293,13.6223,2.0,16.221739393939394
8/1/2019,19:01:00,31.68776095784342,13.6221,2.0,16.283601793568288
8/1/2019,19:03:00,31.7464643533123,13.6221,2.0,16.283473305157347
8/1/2019,19:05:00,31.794504799908136,13.6221,2.0,16.283244844919174
8/1/2019,19:07:00,31.84758793874742,13.6221,2.0,16.28305818244131
8/1/2019,19:10:00,31.906284839967878,13.6221,2.0,16.282887884846062
8/1/2019,19:12:00,31.948631062170225,13.6221,2.0,16.282659412839845
8/1/2019,19:14:00,31.99211289749613,13.6221,2.0,16.28243093619695
8/1/2019,19:16:00,32.015488586489425,13.622096724679029,2.0,16.282301228080197
8/1/2019,19:18:00,32.05541845060738,13.6219,2.0,16.28207398754784
8/1/2019,19:20:00,32.095346063939495,13.6219,2.0,16.281872753755643
8/1/2019,19:22:00,32.13527351744686,13.6219,2.0,16.281717032213844
8/1/2019,19:24:00,32.175135682365074,13.6219,2.0,16.281488558862172
8/1/2019,19:26:00,32.201925854272794,13.6219,2.0,16.28126007882561
8/1/2019,19:29:00,32.23947202380952,13.6219,2.0,16.281115799394527
