:******************************************************************************
:*                            Measurement data                                *
:******************************************************************************
:
:==============================================================================
: [Name of  Apparatus] High pressure two-component adsorption measuring system
: [    Model mane    ] FMS-BG
:==============================================================================
:
:--------------
: sample condition
:--------------
,data folder name,"C:\DATA-PROVE\CalTech"
,sample name,1k2f_60c
,comment,polypropylene glycol 1000g/mol
,sample_weight_gravimety, 0.7293 
,sample_weight_volumetric, 0 
:--------------
: computation parameters
:--------------
,basket_weight, 7.46809 
,basket_density, 7.98 
,air densiry, 0.0012 
,bouyancy correction,calclation
,He molecular weight, 0.001 
,He 2nd virial coef., 0 
,He gas supply pressure, 5000 
,sample density, 1 
,Dead volume, 205 
,adsorbate gas 2nd Virial coef., 0 
,adsorbed layer density, 0 
:--------------
: method of measurement - pretreatment
:--------------
,pretreatment,skip
,pretreatment time, 60 
,pretreatment bath bias, 0 
,kind of pretreatment heater,heater
,pretreatment temperature, 180 
,rate of temp. elevation, 10 
,evacuation period, 120 
,ultimate evacuation vacuum pressure, 0.001 
,continuous measurement,does
:--------------
: method of measurement - adsorption
:--------------
,method of measurement,mono
,gas dosing port X,Ads2
,molecular weight X, 44.01 
,ratio of adsorptive X, 100 
,pre-adsorption pressure, 1 
,gas supply pressure X, 5500 
,gas dosing port Y,Ads2
,molecular weight Y, 44 
,ratio of adsorptive Y, 0 
,gas supply pressure Y, 5000 
,measurement of rate of adsroption,does not do
:--------------
: measurement parameters
:--------------
,apparatus temperature, 50 
,type of meas. apparatus temperatureinput value
,tube temperature, 0 
,adsorption temperature, 60 
,type of meas. ads. temperature,measured data
,bias temp. of circulation bath, 18.6 
,adsorption temperature stable method,vacuum state
,equilibrium (pressure),no
,equilibrium condition (P1), 135 
,equilibrium condition (P2), 35 
,equilibrium condition (P3), 5 
,equilibrium condition (P4), 0.5 
,equilibrium (weight),yes
,equilibrium condition (weight), 0.00003 
,fluid density measurement,measured data
,Post-processing end state,vacuum state
:-------------------
: dosing pressure parameters
:-------------------
,gas dosing method,step method
,ads. pres. limits 1, 50 
,ads. pres. limits 2, 150 
,ads. pres. limits 3, 500 
,ads. pres. limits 4, 5000 
,ads. pres. step 1, 50 
,ads. pres. step 1, 100 
,ads. pres. step 1, 350 
,ads. pres. step 1, 500 
,max. ads. pres., 5500 
,desorption,does
,des. pres. limits 1, 3500 
,des. pres. limits 2, 1000 
,des. pres. limits 3, 300 
,des. pres. limits 4, 0 
,des. pres. step 1, 750 
,des. pres. step 1, 750 
,des. pres. step 1, 200 
,des. pres. step 1, 50 
,min. des. pres., 10 
,gas dosing table file,C:\Documents and Settings\TEST\Desktop\MSB-BG_He(E)\DEFAULT.TBL
:==============================================================================
: measurement initial value
:==============================================================================
,apparatus temperature, 50 
,adsorption temperature, 60 
,true S.W.(Gravimetic) after pretreatment,-2.17633173059208 
,sinker weight at vacuum, 19.7216004761905 
,MP1-ZP weight at vacuum, 8.01357936507936 
,V0_a1,-999 
,V0_a2,-999 
,MP1 volume at 101.325kPa,-0.895514353399093 
,sample true density(g/cm3), 1 
,start date of measurement,07-02-2019
,start time of measurement,01:18:36
:==============================================================================
: adsorption-desorption measurement data
:==============================================================================
,,,No.,temp4,equilibrium pressure,MP1-MP0,uptake,uptake per unit,adsorbate volume,MP2-MP1,adsorptive density,start time of gas dosing
,,,,(°C),(kPa),(g),(g),(g/g),(cm3),(g),(g/cm3),
,,,1,59.85,49.851,8.01128,-0.00298,0.00137,0.00000,19.71827,7.5874E-04,19/07/02,01:18:38
,,,2,59.82,99.818,8.00959,-0.00538,0.00247,0.00000,19.71482,1.5457E-03,19/07/02,02:26:34
,,,3,59.81,200.592,8.00614,-0.01026,0.00472,0.00000,19.70777,3.1530E-03,19/07/02,03:47:52
,,,4,59.84,549.557,7.99385,-0.02762,0.01269,0.00000,19.68294,8.8136E-03,19/07/02,05:38:48
,,,5,59.78,1046.033,7.97569,-0.05321,0.02445,0.00000,19.64655,1.7111E-02,19/07/02,08:25:54
,,,6,59.84,1541.547,7.95679,-0.07981,0.03667,0.00000,19.60885,2.5707E-02,19/07/02,11:18:45
,,,7,59.74,2033.003,7.93702,-0.10753,0.04941,0.00000,19.56992,3.4583E-02,19/07/02,14:26:42
,,,8,59.93,2525.741,7.91618,-0.13663,0.06278,0.00000,19.52944,4.3814E-02,19/07/02,17:24:45
