:******************************************************************************
:*                            Measurement data                                *
:******************************************************************************
:
:==============================================================================
: [Name of  Apparatus] High pressure two-component adsorption measuring system
: [    Model mane    ] FMS-BG
:==============================================================================
:
:--------------
: sample condition
:--------------
,data folder name,"C:\DATA-PROVE\CalTech"
,sample name,3k2f
,comment,polypropylene glycol 2700g/mol
,sample_weight_gravimety, 0.731 
,sample_weight_volumetric, 0 
:--------------
: computation parameters
:--------------
,basket_weight, 7.46809 
,basket_density, 7.98 
,air densiry, 0.0012 
,bouyancy correction,calclation
,He molecular weight, 0.001 
,He 2nd virial coef., 0 
,He gas supply pressure, 5000 
,sample density, 1 
,Dead volume, 205 
,adsorbate gas 2nd Virial coef., 0 
,adsorbed layer density, 0 
:--------------
: method of measurement - pretreatment
:--------------
,pretreatment,skip
,pretreatment time, 60 
,pretreatment bath bias, 0 
,kind of pretreatment heater,heater
,pretreatment temperature, 180 
,rate of temp. elevation, 10 
,evacuation period, 120 
,ultimate evacuation vacuum pressure, 0.001 
,continuous measurement,does
:--------------
: method of measurement - adsorption
:--------------
,method of measurement,mono
,gas dosing port X,Ads2
,molecular weight X, 44.01 
,ratio of adsorptive X, 100 
,pre-adsorption pressure, 1 
,gas supply pressure X, 5500 
,gas dosing port Y,Ads2
,molecular weight Y, 44 
,ratio of adsorptive Y, 0 
,gas supply pressure Y, 5000 
,measurement of rate of adsroption,does not do
:--------------
: measurement parameters
:--------------
,apparatus temperature, 50 
,type of meas. apparatus temperatureinput value
,tube temperature, 0 
,adsorption temperature, 30.3 
,type of meas. ads. temperature,measured data
,bias temp. of circulation bath, 18.6 
,adsorption temperature stable method,vacuum state
,equilibrium (pressure),no
,equilibrium condition (P1), 135 
,equilibrium condition (P2), 35 
,equilibrium condition (P3), 5 
,equilibrium condition (P4), 0.5 
,equilibrium (weight),yes
,equilibrium condition (weight), 0.00003 
,fluid density measurement,measured data
,Post-processing end state,vacuum state
:-------------------
: dosing pressure parameters
:-------------------
,gas dosing method,step method
,ads. pres. limits 1, 50 
,ads. pres. limits 2, 150 
,ads. pres. limits 3, 500 
,ads. pres. limits 4, 5000 
,ads. pres. step 1, 50 
,ads. pres. step 1, 100 
,ads. pres. step 1, 350 
,ads. pres. step 1, 500 
,max. ads. pres., 5500 
,desorption,does
,des. pres. limits 1, 3500 
,des. pres. limits 2, 1000 
,des. pres. limits 3, 300 
,des. pres. limits 4, 0 
,des. pres. step 1, 750 
,des. pres. step 1, 750 
,des. pres. step 1, 200 
,des. pres. step 1, 50 
,min. des. pres., 10 
,gas dosing table file,C:\Documents and Settings\TEST\Desktop\MSB-BG_He(E)\DEFAULT.TBL
:==============================================================================
: measurement initial value
:==============================================================================
,apparatus temperature, 50 
,adsorption temperature, 30.3 
,true S.W.(Gravimetic) after pretreatment,-2.17111998456031 
,sinker weight at vacuum, 19.7216217460318 
,MP1-ZP weight at vacuum, 8.01879111111112 
,V0_a1,-999 
,V0_a2,-999 
,MP1 volume at 101.325kPa,-0.890302607367331 
,sample true density(g/cm3), 1 
,start date of measurement,06-17-2019
,start time of measurement,14:18:19
:==============================================================================
: adsorption-desorption measurement data
:==============================================================================
,,,No.,temp4,equilibrium pressure,MP1-MP0,uptake,uptake per unit,adsorbate volume,MP2-MP1,adsorptive density,start time of gas dosing
,,,,(°C),(kPa),(g),(g),(g/g),(cm3),(g),(g/cm3),
,,,1,30.85,49.827,8.01643,-0.00313,0.00144,0.00000,19.71787,8.5493E-04,19/06/17,14:18:21
,,,2,31.02,101.773,8.01454,-0.00582,0.00268,0.00000,19.71391,1.7596E-03,19/06/17,15:31:18
,,,3,31.12,201.980,8.01138,-0.01055,0.00486,0.00000,19.70620,3.5186E-03,19/06/17,17:12:27
,,,4,31.32,549.567,8.00011,-0.02737,0.01261,0.00000,19.67883,9.7639E-03,19/06/17,20:13:35
,,,5,31.44,1044.137,7.98329,-0.05245,0.02416,0.00000,19.63820,1.9034E-02,19/06/18,01:10:52
,,,6,31.15,1532.831,7.96623,-0.07814,0.03599,0.00000,19.59568,2.8736E-02,19/06/18,06:18:50
,,,7,31.07,2022.380,7.94712,-0.10642,0.04902,0.00000,19.55057,3.9030E-02,19/06/18,16:57:25
,,,8,31.11,2511.395,7.92688,-0.13641,0.06283,0.00000,19.50261,4.9975E-02,19/06/18,22:00:42
